,User,Influence_Score
600,just2ean,0
601,kabelo_quinton,0
602,kacy66042820,0
603,kaitlynnmakay,0
604,karlybrooksmizy,0
605,keelee231,0
606,keithgrantham,0
607,keithspencer543,0
608,khad935,0
609,king_ronnie3,0
610,kingbezzy6,0
611,kingej100,0
612,kingmakerariy,0
613,kisince99,0
614,kode366,0
615,kopp33,0
616,kritzmoritz,0
617,kxng6ix,0
618,lagaless,282
619,lekhema3,0
620,lenee11,0
621,leojones8675,0
622,lesegolezIX,0
623,lgagasxoxo_h,0
624,lillernina,0
625,lilyrosee_ay,0
626,live_4themoment,0
627,liviah_oma,0
628,livmorganfan08,0
629,lolita_406,0
630,lolotedu18,0
631,lucasYC26,0
632,lucasdoquinto,0
633,lucifer9887,0
634,m0thmama,0
635,mFX5Rw8aiNenfDX,0
636,made63323003,0
637,madeline0601,0
638,maloned1,0
639,managerluth,0
640,manomanooooosh,0
641,mantac8,0
642,marcopredieri1,0
643,mariesntg17,0
644,marybirkinshaw,0
645,masa_matsunaga,6621
646,masonischamp21,0
647,mass_blaster2k2,0
648,matsu7242,0
649,megabankswwe,0
650,mervinkajar,0
651,micaxcharlottef,0
652,michael43ans,0
653,mike21756,0
654,mikeburlingame1,0
655,mingomars_,0
656,misaking_1115,0
657,misscrazyaj,0
658,miyannb,0
659,msdancewwe,0
660,nachodvt_,0
661,navvir,0
662,nickguerrero001,0
663,njpwsun,0
664,nolipho27,0
665,northgenesis,0
666,notoriouscrown,0
667,olyosso,0
668,omar2014520,0
669,omdas05,0
670,onasci23,0
671,one_dollar_help,0
672,onedirctionpeac,0
673,orca_master,0
674,ostercoaster,0
675,panditakawaiis,0
676,parkourbeast98,0
677,paulconner33,0
678,pchNilbog,0
679,peggyweyn,0
680,petzel_ron,0
681,pinkteddy_bella,0
682,poetryinmxtion,0
683,poyo_88,0
684,ppwpodcast,1115
685,prowpodcast,0
686,psychoticvixen_,0
687,punkrockbgmouth,0
688,r0b0ts0n,0
689,rajesh73443124,0
690,rajeshwarisahar,0
691,rayash427g,0
692,readysettwitch,0
693,redhood65591,0
694,reielys1280,0
695,ricardojimenez0,0
696,rj_kruszynski,0
697,rlangeles,0
698,rockguyryan,0
699,rokstarchic85,0
700,rosecoffin666,0
701,s_mah,0
702,sahil8sahil,0
703,sashasasuka,0
704,savagemegalodon,0
705,save_the_knot,0
